state_name,state_abb,state_region,housing_mean,dem_adv,women_index,clinton_pct_lead
Alabama,AL,South,92545.2156862745,-17,-4.1499999999999995,-28.7
Alaska,AK,West,147385.13725490196,-8.5,-1.75,-16.8
Arizona,AZ,West,140755.58823529413,-0.3,1.79,-3.8
Arkansas,AR,South,82076.8431372549,-14.3,-5.930000000000001,-28.6
California,CA,West,282808.08496732026,18.3,4.84,32.3
Colorado,CO,West,158175.98692810457,-0.6,0.77,5.4
Connecticut,CT,Northeast,223063.08496732026,18.3,2.32,14.3
Delaware,DE,South,152905.5294117647,19.3,-1.28,12
Florida,FL,South,137842.58823529413,1.1,-0.93,-1.2
Georgia,GA,South,112197.29411764706,-1.2,-5.18,-5.3
Hawaii,HI,West,368217.1111111111,18.7,1.22,34.9
Idaho,ID,West,118775.27450980392,-26.2,-3.71,-36.6
Illinois,IL,North Central,138753.03921568627,17.9,-0.8600000000000001,18
Indiana,IN,North Central,92405.66666666667,-8,0.17,-20.2
Iowa,IA,North Central,80488.81699346405,-5.8,2.9,-10.1
Kansas,KS,North Central,86558.30718954248,-16.9,-1.54,-22.2
Kentucky,KY,South,87001.29411764706,-9.2,-2.77,-31.3
Louisiana,LA,South,94720.92810457517,-4.4,-5.55,-20.3
Maine,ME,Northeast,117947.96078431372,3.9,9.09,3.2
Maryland,MD,South,188834.83006535948,23.2,1.1600000000000001,28
Massachusetts,MA,Northeast,202006.1503267974,24.9,7.819999999999999,29.3
Michigan,MI,North Central,100383.23529411765,4.9,1.74,-0.2
Minnesota,MN,North Central,116670.84967320261,4.7,9.860000000000001,1.7
Mississippi,MS,South,79918.18300653595,-10.9,-1.21,-18.2
Missouri,MO,North Central,96835.36601307189,-8.3,2.3699999999999997,-19.6
Montana,MT,West,116037.5751633987,-16.1,2.8,-22.2
Nebraska,NE,North Central,81559.19607843137,-12.4,-2.8099999999999996,-27.1
Nevada,NV,West,161602.73856209152,-1.5,-4.46,2.6
New Hampshire,NH,Northeast,135110.58823529413,-4.3,14.4,0.4
New Jersey,NJ,Northeast,210540.3202614379,10.9,-1.49,14.6
New Mexico,NM,West,119865.73202614379,5.5,-0.07,9.3
New York,NY,Northeast,178006.92810457517,21.1,-0.06,23.5
North Carolina,NC,South,114417.70588235294,1.5,1.59,-3.8
North Dakota,ND,North Central,78819.94117647059,-20.9,0.16,-39.6
Ohio,OH,North Central,99219.08496732026,-5.1,-1.21,-8.5
Oklahoma,OK,South,77611.97385620915,-17.7,-2.7600000000000002,-38.6
Oregon,OR,West,157747.07843137256,11.5,6.819999999999999,12.3
Pennsylvania,PA,Northeast,116523.28758169935,2.3,-5.29,-0.8
Rhode Island,RI,Northeast,159440,15,-0.14,16.6
South Carolina,SC,South,108311.71241830065,-12.1,-3.09,-14.9
South Dakota,SD,North Central,84351.60130718954,-22.7,-0.75,-31.9
Tennessee,TN,South,101689.19607843137,-11.5,-3.01,-27.2
Texas,TX,South,95699.93464052287,-3.9,-6.22,-9.4
Utah,UT,West,142837.33986928104,-27.6,-8.12,-24.8
Vermont,VT,Northeast,132394.60130718953,25.5,1.97,30.4
Virginia,VA,South,155391.43790849674,0.4,-4.67,5.7
Washington,WA,West,178522.5751633987,10.1,8.350000000000001,17.6
West Virginia,WV,South,77161.70588235294,-9,-6.08,-44.3
Wisconsin,WI,North Central,108359.45098039215,2.2,4.9,-0.8
Wyoming,WY,West,122897.24836601307,-33.8,-1.97,-51.4
